	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
1946	scat dropping from dry river bed_HMV_environmental/other	0	11	11	scat-dropping-from-dry-river-bed_hmv_environmental/other	Environment
1947	scat_HMV_environmental/other	0	40	40	scat_hmv_environmental/other	Environment
1948	scope_HMV_environmental/other	0	1	1	scope_hmv_environmental/other	Environment
1949	seal aquarium_HMV_environmental/other	0	5	5	seal-aquarium_hmv_environmental/other	Environment
1950	sediment soil_HMV_environmental/other	0	1	1	sediment-soil_hmv_environmental/other	Environment
1951	sediment_HMV_environmental/other	0	46	46	sediment_hmv_environmental/other	Environment
1952	sepsis_Homo sapiens_clinical	33	0	33	sepsis_homo-sapiens_clinical	Homosapiens
1953	sheep (Ovis aries)_Ovis aries (sheep)_environmental/other	0	1	1	sheep-(ovis-aries)_ovis-aries-(sheep)_environmental/other	Ruminant
1954	sheep carcass swab_HMV_environmental/other	0	6	6	sheep-carcass-swab_hmv_environmental/other	Meat/Meatproduct
1955	sheep feces_HMV_environmental/other	0	12	12	sheep-feces_hmv_environmental/other	Ruminant
1956	sheep feed_HMV_environmental/other	0	1	1	sheep-feed_hmv_environmental/other	Ruminant
1957	sheep goat middle pasture_HMV_environmental/other	0	2	2	sheep-goat-middle-pasture_hmv_environmental/other	Ruminant
1958	sheep goat next barn_HMV_environmental/other	0	2	2	sheep-goat-next-barn_hmv_environmental/other	Ruminant
1959	sheep goat_HMV_environmental/other	0	3	3	sheep-goat_hmv_environmental/other	Ruminant
1960	sheep lung_ovine_environmental/other	0	2	2	sheep-lung_ovine_environmental/other	Ruminant
1961	sheep ovine_HMV_environmental/other	0	9	9	sheep-ovine_hmv_environmental/other	Ruminant
1962	sheep pen with peacock_HMV_environmental/other	0	1	1	sheep-pen-with-peacock_hmv_environmental/other	Ruminant
1963	sheep_HMV_environmental/other	0	1	1	sheep_hmv_environmental/other	Ruminant
1964	shrimp_HMV_environmental/other	0	17	17	shrimp_hmv_environmental/other	Meat/Meatproduct
1965	sinus swab_chicken_environmental/other	0	1	1	sinus-swab_chicken_environmental/other	Poultry
1966	sinus_Meleagris gallopavo_clinical	1	0	1	sinus_meleagris-gallopavo_clinical	Homosapiens
1967	sinus_Meleagris_environmental/other	0	1	1	sinus_meleagris_environmental/other	Poultry
1968	skin (Canis lupus familiaris)_HMV_environmental/other	0	6	6	skin-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1969	skin (Canis lupus)_HMV_environmental/other	0	2	2	skin-(canis-lupus)_hmv_environmental/other	Environment
1970	skin (Gallus gallus domesticus)_Gallus gallus domesticus_environmental/other	0	2	2	skin-(gallus-gallus-domesticus)_gallus-gallus-domesticus_environmental/other	Poultry
1971	skin swab (Canis lupus familiaris)_HMV_environmental/other	0	2	2	skin-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1972	skin(Canis lupus familiaris )_HMV_environmental/other	0	1	1	skin(canis-lupus-familiaris-)_hmv_environmental/other	Dog
1973	skin_Canis lupus familiaris_environmental/other	0	1	1	skin_canis-lupus-familiaris_environmental/other	Dog
1974	skin_Equus caballus_environmental/other	0	1	1	skin_equus-caballus_environmental/other	Horse
1975	skin_Homo sapiens_clinical	1	0	1	skin_homo-sapiens_clinical	Homosapiens
1976	skin_horse_environmental/other	0	1	1	skin_horse_environmental/other	Horse
1977	skinless boneless chicken breast with rib meat_HMV_environmental/other	0	1	1	skinless-boneless-chicken-breast-with-rib-meat_hmv_environmental/other	Meat/Meatproduct
1978	skinless boneless chicken breast_HMV_environmental/other	0	66	66	skinless-boneless-chicken-breast_hmv_environmental/other	Meat/Meatproduct
1979	skinless bonless chicken breast_HMV_environmental/other	0	1	1	skinless-bonless-chicken-breast_hmv_environmental/other	Meat/Meatproduct
1980	skinless bonless chicken thin sliced breast_HMV_environmental/other	0	1	1	skinless-bonless-chicken-thin-sliced-breast_hmv_environmental/other	Meat/Meatproduct
1981	sliced dry salami_HMV_environmental/other	0	1	1	sliced-dry-salami_hmv_environmental/other	Meat/Meatproduct
1982	slime/sediment_HMV_environmental/other	0	1	1	slime/sediment_hmv_environmental/other	Environment
1983	small intestine (Equus ferus caballus)_Equus caballus_environmental/other	0	2	2	small-intestine-(equus-ferus-caballus)_equus-caballus_environmental/other	Horse
1984	small intestine (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	1	1	small-intestine-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
1985	small intestine (Sus scrofa)_Sus scrofa_environmental/other	0	1	1	small-intestine-(sus-scrofa)_sus-scrofa_environmental/other	Swine
1986	small intestine canine_canine_environmental/other	0	4	4	small-intestine-canine_canine_environmental/other	Dog
1987	small intestine canine_dog_environmental/other	0	1	1	small-intestine-canine_dog_environmental/other	Dog
1988	small intestine goat_Capra_environmental/other	0	2	2	small-intestine-goat_capra_environmental/other	Ruminant
1989	small intestine hamster cricetinae_Cricetinae_environmental/other	0	1	1	small-intestine-hamster-cricetinae_cricetinae_environmental/other	Environment
1990	small intestine ostrich (Struthio camelus)_Struthio camelus_environmental/other	0	2	2	small-intestine-ostrich-(struthio-camelus)_struthio-camelus_environmental/other	Environment
1991	small intestine psittacine_psittacine_environmental/other	0	1	1	small-intestine-psittacine_psittacine_environmental/other	Environment
1992	small intestine quail_quail_environmental/other	0	1	1	small-intestine-quail_quail_environmental/other	Environment
1993	small intestine rabbit domestic (Oryctolagus cuniculus)_Oryctolagus cuniculus_environmental/other	0	1	1	small-intestine-rabbit-domestic-(oryctolagus-cuniculus)_oryctolagus-cuniculus_environmental/other	Environment
1994	small intestine white-tailed deer_Odocoileus virginianus_environmental/other	0	1	1	small-intestine-white-tailed-deer_odocoileus-virginianus_environmental/other	Environment
1995	small intestine_Anserini_environmental/other	0	2	2	small-intestine_anserini_environmental/other	Environment
1996	small intestine_Sus scrofa_environmental/other	0	2	2	small-intestine_sus-scrofa_environmental/other	Swine
1997	small intestine_mouse_environmental/other	0	1	1	small-intestine_mouse_environmental/other	Environment
1998	soil (Environmental)_HMV_environmental/other	0	6	6	soil-(environmental)_hmv_environmental/other	Environment
1999	soil and scat_HMV_environmental/other	0	3	3	soil-and-scat_hmv_environmental/other	Environment
2000	soil and surface debris_HMV_environmental/other	0	2	2	soil-and-surface-debris_hmv_environmental/other	Environment
2001	soil bird dropping manure_HMV_environmental/other	0	3	3	soil-bird-dropping-manure_hmv_environmental/other	Environment
2002	soil scat_HMV_environmental/other	0	30	30	soil-scat_hmv_environmental/other	Environment
2003	soil sediment_HMV_environmental/other	0	9	9	soil-sediment_hmv_environmental/other	Environment
2004	soil tomato_HMV_environmental/other	0	1	1	soil-tomato_hmv_environmental/other	plant_based_food
2005	soil_HMV_environmental/other	0	129	129	soil_hmv_environmental/other	Environment
2006	soy nut butter_HMV_environmental/other	0	16	16	soy-nut-butter_hmv_environmental/other	Environment
2007	spinach_HMV_environmental/other	0	139	139	spinach_hmv_environmental/other	plant_based_food
2008	spinal fluid_bovine_environmental/other	0	1	1	spinal-fluid_bovine_environmental/other	Ruminant
2009	spleen (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	1	1	spleen-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
2010	spleen (Sus scrofa)_Sus scrofa_environmental/other	0	1	1	spleen-(sus-scrofa)_sus-scrofa_environmental/other	Swine
2011	spleen_Bos taurus_environmental/other	0	2	2	spleen_bos-taurus_environmental/other	Ruminant
2012	spleen_Felis catus_environmental/other	0	1	1	spleen_felis-catus_environmental/other	Environment
2013	spleen_Meleagris_environmental/other	0	1	1	spleen_meleagris_environmental/other	Poultry
2014	spleen_Phasianus colchicus_environmental/other	0	1	1	spleen_phasianus-colchicus_environmental/other	Environment
2015	spleen_horse_environmental/other	0	1	1	spleen_horse_environmental/other	Horse
2016	splelen_cattle_environmental/other	0	1	1	splelen_cattle_environmental/other	Ruminant
2017	split chicken breast_HMV_environmental/other	0	1	1	split-chicken-breast_hmv_environmental/other	Meat/Meatproduct
2018	sponge feces_HMV_environmental/other	0	5	5	sponge-feces_hmv_environmental/other	Environment
2019	spring mix_HMV_environmental/other	0	4	4	spring-mix_hmv_environmental/other	Environment
2020	spring water_HMV_environmental/other	0	1	1	spring-water_hmv_environmental/other	Environment
2021	sprout_HMV_environmental/other	0	6	6	sprout_hmv_environmental/other	Environment
2022	sprouts_HMV_environmental/other	0	1	1	sprouts_hmv_environmental/other	plant_based_food
2023	sputum isolate_Homo sapiens_clinical	1	0	1	sputum-isolate_homo-sapiens_clinical	Homosapiens
2024	sputum_HMV_clinical	1	0	1	sputum_hmv_clinical	Homosapiens
2025	sputum_Homo sapiens_clinical	52	0	52	sputum_homo-sapiens_clinical	Homosapiens
2026	squirrel_HMV_environmental/other	0	1	1	squirrel_hmv_environmental/other	Environment
2027	steer feces (Bos taurus)_HMV_environmental/other	0	31	31	steer-feces-(bos-taurus)_hmv_environmental/other	Ruminant
2028	stock pellet_HMV_environmental/other	0	1	1	stock-pellet_hmv_environmental/other	Environment
2029	stomach (Equus ferus caballus)_equine_environmental/other	0	1	1	stomach-(equus-ferus-caballus)_equine_environmental/other	Horse
2030	stomach (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	1	1	stomach-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
2031	stomach_Felis catus_environmental/other	0	1	1	stomach_felis-catus_environmental/other	Environment
2032	stomach_porcine_environmental/other	0	1	1	stomach_porcine_environmental/other	Swine
2033	stool (Antilocapra americana)_HMV_environmental/other	0	26	26	stool-(antilocapra-americana)_hmv_environmental/other	Environment
2034	stool (Castor canadensis)_HMV_environmental/other	0	18	18	stool-(castor-canadensis)_hmv_environmental/other	Environment
2035	stool (Cervus canadensis)_HMV_environmental/other	0	109	109	stool-(cervus-canadensis)_hmv_environmental/other	Environment
2036	stool (Odocoileus hemionus)_HMV_environmental/other	0	102	102	stool-(odocoileus-hemionus)_hmv_environmental/other	Environment
2037	stool (Odocoileus virginianus)_HMV_environmental/other	0	44	44	stool-(odocoileus-virginianus)_hmv_environmental/other	Environment
2038	stool isolate_Homo sapiens_clinical	24	0	24	stool-isolate_homo-sapiens_clinical	Homosapiens
2039	stool/fecal isolate_Homo sapiens_clinical	2	0	2	stool/fecal-isolate_homo-sapiens_clinical	Homosapiens
2040	stool_Felis catus_clinical	12	0	12	stool_felis-catus_clinical	Homosapiens
2041	stool_HMV_clinical	3579	0	3579	stool_hmv_clinical	Homosapiens
2042	stool_HMV_environmental/other	0	54	54	stool_hmv_environmental/other	Environment
2043	stool_Homo sapiens_clinical	455	0	455	stool_homo-sapiens_clinical	Homosapiens
2044	stool_Isolate_clinical	9	0	9	stool_isolate_clinical	Homosapiens
2045	stream sediment_HMV_environmental/other	0	9	9	stream-sediment_hmv_environmental/other	Environment
2046	strip steak_HMV_environmental/other	0	1	1	strip-steak_hmv_environmental/other	Meat/Meatproduct
2047	surface water_HMV_environmental/other	0	45	45	surface-water_hmv_environmental/other	Environment
2048	surface wipe; bathroom floor_HMV_environmental/other	0	2	2	surface-wipe;-bathroom-floor_hmv_environmental/other	Environment
2049	surface wipe; bathroom toilet_HMV_environmental/other	0	1	1	surface-wipe;-bathroom-toilet_hmv_environmental/other	Environment
2050	surface wipe; bathroom_HMV_environmental/other	0	1	1	surface-wipe;-bathroom_hmv_environmental/other	Environment
2051	swab (Canis familiaris)_HMV_environmental/other	0	1	1	swab-(canis-familiaris)_hmv_environmental/other	Dog
2052	swab (Canis lupus)_HMV_environmental/other	0	2	2	swab-(canis-lupus)_hmv_environmental/other	Environment
2053	swab - surgical incision (Canis familiaris)_HMV_environmental/other	0	1	1	swab---surgical-incision-(canis-familiaris)_hmv_environmental/other	Dog
2054	swab_Canis lupus familiaris_environmental/other	0	1	1	swab_canis-lupus-familiaris_environmental/other	Dog
2055	swine cecum_HMV_environmental/other	0	1	1	swine-cecum_hmv_environmental/other	Swine
2056	swine_HMV_environmental/other	0	1	1	swine_hmv_environmental/other	Swine
2057	tacheal aspirate_Homo sapiens_clinical	1	0	1	tacheal-aspirate_homo-sapiens_clinical	Homosapiens
2058	tail base swab (Canis lupus)_HMV_environmental/other	0	1	1	tail-base-swab-(canis-lupus)_hmv_environmental/other	Environment
2059	tailwater_HMV_environmental/other	0	1	1	tailwater_hmv_environmental/other	Environment
2060	thai basil_HMV_environmental/other	0	1	1	thai-basil_hmv_environmental/other	plant_based_food
2061	thin sliced breast_HMV_environmental/other	0	3	3	thin-sliced-breast_hmv_environmental/other	Meat/Meatproduct
2062	thin sliced chicken breast_HMV_environmental/other	0	21	21	thin-sliced-chicken-breast_hmv_environmental/other	Meat/Meatproduct
2063	throat_Macaca mulatta_clinical	1	0	1	throat_macaca-mulatta_clinical	Homosapiens
2064	tissue (Canis lupus familiaris)_HMV_environmental/other	0	3	3	tissue-(canis-lupus-familiaris)_hmv_environmental/other	Dog
2065	tissue pool (Canis lupus familiaris)_HMV_environmental/other	0	1	1	tissue-pool-(canis-lupus-familiaris)_hmv_environmental/other	Dog
2066	tissue_Homo sapiens_clinical	6	0	6	tissue_homo-sapiens_clinical	Homosapiens
2067	toe_Homo sapiens_clinical	1	0	1	toe_homo-sapiens_clinical	Homosapiens
2068	tomato_HMV_environmental/other	0	10	10	tomato_hmv_environmental/other	plant_based_food
2069	tomatoes_HMV_environmental/other	0	2	2	tomatoes_hmv_environmental/other	plant_based_food
2070	trach wash_Canis lupus familiaris_environmental/other	0	1	1	trach-wash_canis-lupus-familiaris_environmental/other	Dog
2071	trachea chicken (Gallus gallus domesticus)_Gallus gallus_environmental/other	0	1	1	trachea-chicken-(gallus-gallus-domesticus)_gallus-gallus_environmental/other	Poultry
2072	trachea_Mus musculus_environmental/other	0	1	1	trachea_mus-musculus_environmental/other	Environment
2073	tracheal aspirate_Homo sapiens_clinical	1	0	1	tracheal-aspirate_homo-sapiens_clinical	Homosapiens
2074	tri tip_HMV_environmental/other	0	10	10	tri-tip_hmv_environmental/other	Environment
2075	trough water_HMV_environmental/other	0	1	1	trough-water_hmv_environmental/other	Environment
2076	tube swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	tube-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
2077	turkey feces_Meleagris gallopavo_environmental/other	0	1	1	turkey-feces_meleagris-gallopavo_environmental/other	Poultry
2078	turkey intestine_HMV_environmental/other	0	48	48	turkey-intestine_hmv_environmental/other	Poultry
2079	turkey spleen_HMV_environmental/other	0	2	2	turkey-spleen_hmv_environmental/other	Poultry
2080	turkey yolk sac_HMV_environmental/other	0	29	29	turkey-yolk-sac_hmv_environmental/other	Meat/Meatproduct
2081	turkey_HMV_environmental/other	0	125	125	turkey_hmv_environmental/other	Poultry
2082	udder acute mastitis_Bos taurus_environmental/other	0	1	1	udder-acute-mastitis_bos-taurus_environmental/other	Ruminant
2083	ulcer_Homo sapiens_clinical	1	0	1	ulcer_homo-sapiens_clinical	Homosapiens
2084	umbilicus_Homo sapiens_clinical	1	0	1	umbilicus_homo-sapiens_clinical	Homosapiens
2085	umbilicus_horse_environmental/other	0	1	1	umbilicus_horse_environmental/other	Horse
2086	unbleached unenriched all-purpose white flour_HMV_environmental/other	0	2	2	unbleached-unenriched-all-purpose-white-flour_hmv_environmental/other	plant_based_food
2087	unbleached white flour_HMV_environmental/other	0	15	15	unbleached-white-flour_hmv_environmental/other	plant_based_food
2088	unground oats (animal feed)_HMV_environmental/other	0	1	1	unground-oats-(animal-feed)_hmv_environmental/other	Meat/Meatproduct
2089	unknown isolate_Homo sapiens_clinical	1	0	1	unknown-isolate_homo-sapiens_clinical	Homosapiens
2090	untreated waste water_HMV_environmental/other	0	40	40	untreated-waste-water_hmv_environmental/other	Environment
2091	urachus swab_horse_environmental/other	0	1	1	urachus-swab_horse_environmental/other	Horse
2092	urin_cat_environmental/other	0	1	1	urin_cat_environmental/other	Environment
2093	urine (Canis lupus familiaris )_HMV_environmental/other	0	7	7	urine-(canis-lupus-familiaris-)_hmv_environmental/other	Dog
2094	urine (Canis lupus familiaris)_HMV_environmental/other	0	145	145	urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
2095	urine (Canis lupus)_Canis lupus_environmental/other	0	2	2	urine-(canis-lupus)_canis-lupus_environmental/other	Environment
2096	urine (Canis lupus)_HMV_environmental/other	0	23	23	urine-(canis-lupus)_hmv_environmental/other	Environment
